Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
336115;Aberdeen Standard SICAV I - Asia Local Currency Short Term Bond Fund;     64,67;   64,66;2019-05-14
865063;Aberdeen Standard SICAV I - European Equity (Ex UK) Fund;    164,56;  164,53;2019-05-14
367698;Aberdeen Standard SICAV I - European Equity Fund;    607,62;  607,51;2019-05-14
757575;Aberdeen Standard SICAV I - Japanese Equity Fund;     37,84;   37,83;2019-05-14
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Fund;    130,59;  130,56;2019-05-14
407775;Aberdeen Standard SICAV I - North American Equity Fund;    297,42;  297,36;2019-05-14
900894;Aberdeen Standard SICAV I - Select Euro High Yield Bond;    243,95;  243,91;2019-05-14
721746;Aberdeen Standard SICAV I- Select Emerging Markets Bond Fund;    430,39;  430,30;2019-05-14
848069;Aberdeen Standard SICAV I- Technology Equity Fund;     62,38;   62,37;2019-05-14
938845;AGCM Fund- Asia Growth Sub- Fund;    149,75;  149,75;2019-05-13
182584;Aktia Capital;     34,59;   34,59;2019-05-14
339473;Aktia Nordic Small Cap;     33,26;   33,26;2019-05-14
308908;Aktie-Ansvar Avkastningsfond;    114,47;  114,47;2019-05-14
344739;Aktie-Ansvar Sverige;    590,96;  590,96;2019-05-14
290072;Aktiespararna Topp Sverige;     17,30;   17,30;2019-05-14
147348;Alfred Berg Aktiv;   1788,48; 1787,67;2019-05-13
320176;Alfred Berg Fastighetsfond Norden;    419,19;  419,19;2019-05-14
361733;Alfred Berg Korträntefond Hållbar;    982,22;  982,22;2019-05-14
183178;Alfred Berg Norge;   1083,79; 1083,30;2019-05-13
111518;Alfred Berg Obligasjon;    130,97;  130,91;2019-05-13
554691;Alfred Berg Obligationsfond Plus Hållbar;   1030,60; 1030,60;2019-05-14
671982;Alfred Berg Ryssland;    572,58;  572,58;2019-05-14
753731;Allianz China Equity;    556,56;  556,44;2019-05-14
250878;Allianz Emerging Asia Equity;    578,27;  578,15;2019-05-14
717900;Allianz Euro High Yield Bond;   1219,56; 1219,33;2019-05-14
682070;Allianz Europe Equity Growth;   2800,14; 2799,62;2019-05-14
